epoch 23, exp Proposal0, tp 1431, tn 6698, fp 2, fn 61, recall 0.95911527, precision 0.9986043, f1 0.9784615, acc 0.9923096 
epoch 23, exp Baseline0, tp 1448, tn 6700, fp 0, fn 44, recall 0.9705094, precision 1, f1 0.98503405, acc 0.9946289 
epoch 23, exp Baseline1, tp 115, tn 6496, fp 204, fn 1377, recall 0.07707775, precision 0.36050156, f1 0.12700166, acc 0.80700684 
epoch 24, exp Proposal1, tp 1405, tn 6700, fp 0, fn 87, recall 0.941689, precision 1, f1 0.9699689, acc 0.9893799 
epoch 24, exp Proposal0, tp 1416, tn 6700, fp 0, fn 76, recall 0.9490617, precision 1, f1 0.9738653, acc 0.99072266 
epoch 24, exp Baseline0, tp 1453, tn 6700, fp 0, fn 39, recall 0.97386056, precision 1, f1 0.9867572, acc 0.99523926 
epoch 24, exp Baseline1, tp 129, tn 6503, fp 197, fn 1363, recall 0.08646113, precision 0.39570552, f1 0.14191419, acc 0.8095703 
epoch 25, exp Baseline1, tp 129, tn 6480, fp 220, fn 1363, recall 0.08646113, precision 0.3696275, f1 0.14014123, acc 0.8067627 
epoch 25, exp Proposal1, tp 1417, tn 6700, fp 0, fn 75, recall 0.9497319, precision 1, f1 0.97421795, acc 0.9908447 
epoch 25, exp Proposal0, tp 1413, tn 6697, fp 3, fn 79, recall 0.9470509, precision 0.99788135, f1 0.97180194, acc 0.98999023 
epoch 25, exp Baseline0, tp 1446, tn 6700, fp 0, fn 46, recall 0.9691689, precision 1, f1 0.9843431, acc 0.99438477 
epoch 26, exp Proposal1, tp 1417, tn 6700, fp 0, fn 75, recall 0.9497319, precision 1, f1 0.97421795, acc 0.9908447 
epoch 26, exp Baseline0, tp 1456, tn 6700, fp 0, fn 36, recall 0.9758713, precision 1, f1 0.9877883, acc 0.99560547 
epoch 26, exp Baseline1, tp 118, tn 6498, fp 202, fn 1374, recall 0.07908847, precision 0.36875, f1 0.13024282, acc 0.8076172 
epoch 26, exp Proposal0, tp 1419, tn 6699, fp 1, fn 73, recall 0.9510724, precision 0.9992958, f1 0.9745879, acc 0.9909668 
epoch 27, exp Proposal1, tp 1430, tn 6700, fp 0, fn 62, recall 0.958445, precision 1, f1 0.97878164, acc 0.99243164 
epoch 27, exp Proposal0, tp 1409, tn 6697, fp 3, fn 83, recall 0.94437, precision 0.99787533, f1 0.9703857, acc 0.98950195 
epoch 27, exp Baseline0, tp 1440, tn 6700, fp 0, fn 52, recall 0.96514744, precision 1, f1 0.98226464, acc 0.99365234 
epoch 27, exp Baseline1, tp 90, tn 6460, fp 240, fn 1402, recall 0.060321715, precision 0.27272728, f1 0.09879254, acc 0.79956055 
epoch 28, exp Baseline0, tp 1443, tn 6700, fp 0, fn 49, recall 0.9671582, precision 1, f1 0.983305, acc 0.99401855 
epoch 28, exp Baseline1, tp 98, tn 6483, fp 217, fn 1394, recall 0.06568365, precision 0.31111112, f1 0.10846709, acc 0.8033447 
epoch 28, exp Proposal1, tp 1412, tn 6699, fp 1, fn 80, recall 0.9463807, precision 0.9992923, f1 0.97211707, acc 0.9901123 
epoch 28, exp Proposal0, tp 1385, tn 6696, fp 4, fn 107, recall 0.92828417, precision 0.9971202, f1 0.96147174, acc 0.9864502 
epoch 29, exp Baseline0, tp 1441, tn 6700, fp 0, fn 51, recall 0.9658177, precision 1, f1 0.98261166, acc 0.9937744 
epoch 29, exp Baseline1, tp 103, tn 6491, fp 209, fn 1389, recall 0.06903485, precision 0.3301282, f1 0.11419069, acc 0.80493164 
epoch 29, exp Proposal0, tp 1404, tn 6700, fp 0, fn 88, recall 0.94101876, precision 1, f1 0.96961325, acc 0.9892578 
epoch 29, exp Proposal1, tp 1408, tn 6700, fp 0, fn 84, recall 0.9436997, precision 1, f1 0.97103447, acc 0.9897461 
epoch 30, exp Proposal0, tp 1413, tn 6699, fp 1, fn 79, recall 0.9470509, precision 0.9992928, f1 0.97247076, acc 0.9902344 
epoch 30, exp Baseline0, tp 1446, tn 6700, fp 0, fn 46, recall 0.9691689, precision 1, f1 0.9843431, acc 0.99438477 
epoch 30, exp Proposal1, tp 1409, tn 6700, fp 0, fn 83, recall 0.94437, precision 1, f1 0.9713892, acc 0.98986816 
epoch 30, exp Baseline1, tp 97, tn 6506, fp 194, fn 1395, recall 0.0650134, precision 0.33333334, f1 0.10880538, acc 0.8060303 
